episode: 0/100, score: -550.0
episode: 1/100, score: -553.25
episode: 2/100, score: -595.0
episode: 3/100, score: -552.0
episode: 4/100, score: -590.25
episode: 5/100, score: -548.0
episode: 6/100, score: -566.0
episode: 7/100, score: -590.25
episode: 8/100, score: -599.5
episode: 9/100, score: -566.5
episode: 10/100, score: -588.0
episode: 11/100, score: -582.0
episode: 12/100, score: -600.5
episode: 13/100, score: -583.5
episode: 14/100, score: -594.25
episode: 15/100, score: -558.25
episode: 16/100, score: -690.5
episode: 17/100, score: -558.5
episode: 18/100, score: -544.5
episode: 19/100, score: -590.5
episode: 20/100, score: -555.5
episode: 21/100, score: -550.0
episode: 22/100, score: -558.5
episode: 23/100, score: -590.25
episode: 24/100, score: -574.5
episode: 25/100, score: -613.0
episode: 26/100, score: -589.5
episode: 27/100, score: -553.0
episode: 28/100, score: -607.0
episode: 29/100, score: -553.25
episode: 30/100, score: -583.5
episode: 31/100, score: -609.0
episode: 32/100, score: -569.25
episode: 33/100, score: -577.5
episode: 34/100, score: -574.25
episode: 35/100, score: -550.0
episode: 36/100, score: -585.75
episode: 37/100, score: -561.0
episode: 38/100, score: -582.25
episode: 39/100, score: -550.0
episode: 40/100, score: -603.0
episode: 41/100, score: -562.0
episode: 42/100, score: -596.75
episode: 43/100, score: -544.5
episode: 44/100, score: -553.0
episode: 45/100, score: -643.0
episode: 46/100, score: -548.0
episode: 47/100, score: -566.0
episode: 48/100, score: -629.5
episode: 49/100, score: -556.5
episode: 50/100, score: -566.75
episode: 51/100, score: -644.75
episode: 52/100, score: -560.75
episode: 53/100, score: -552.0
episode: 54/100, score: -557.5
episode: 55/100, score: -563.75
episode: 56/100, score: -563.75
episode: 57/100, score: -580.5
episode: 58/100, score: -565.75
episode: 59/100, score: -558.5
episode: 60/100, score: -560.75
episode: 61/100, score: -544.5
episode: 62/100, score: -613.75
episode: 63/100, score: -557.5
episode: 64/100, score: -544.5
episode: 65/100, score: -600.0
episode: 66/100, score: -585.5
episode: 67/100, score: -577.25
episode: 68/100, score: -653.25
episode: 69/100, score: -550.0
episode: 70/100, score: -550.0
episode: 71/100, score: -571.5
episode: 72/100, score: -599.5
episode: 73/100, score: -608.5
episode: 74/100, score: -584.5
episode: 75/100, score: -599.5
episode: 76/100, score: -544.5
episode: 77/100, score: -566.75
episode: 78/100, score: -577.25
episode: 79/100, score: -548.0
episode: 80/100, score: -544.5
episode: 81/100, score: -550.0
episode: 82/100, score: -553.0
episode: 83/100, score: -578.5
episode: 84/100, score: -655.75
episode: 85/100, score: -574.75
episode: 86/100, score: -578.5
episode: 87/100, score: -633.5
episode: 88/100, score: -587.5
episode: 89/100, score: -584.0
episode: 90/100, score: -602.25
episode: 91/100, score: -568.75
episode: 92/100, score: -552.0
episode: 93/100, score: -570.0
episode: 94/100, score: -612.75
episode: 95/100, score: -625.75
episode: 96/100, score: -553.0
episode: 97/100, score: -553.5
episode: 98/100, score: -584.5
episode: 99/100, score: -560.5
