{'name': 'P1', 'line': 1, 'arrival_time': '08:01', 'boarding_station': 'Junction1', 'destination': 'Junction3', 'leaving_time': '08:51', 'delay': 12.5, 'total_time': 0, 'shift': 0}
{'name': 'P2', 'line': 1, 'arrival_time': '08:03', 'boarding_station': 'Junction1', 'destination': 'Junction3', 'leaving_time': '08:51', 'delay': 12.0, 'total_time': 0, 'shift': 0}
{'name': 'P3', 'line': 1, 'arrival_time': '08:05', 'boarding_station': 'Junction1', 'destination': 'Junction2', 'leaving_time': '08:49', 'delay': 22.0, 'total_time': 0, 'shift': 0}
{'name': 'P4', 'line': 1, 'arrival_time': '08:05', 'boarding_station': 'Junction1', 'destination': 'Junction3', 'leaving_time': '08:51', 'delay': 11.5, 'total_time': 0, 'shift': 0}
{'name': 'P5', 'line': 1, 'arrival_time': '08:08', 'boarding_station': 'Junction1', 'destination': 'Junction3', 'leaving_time': '08:51', 'delay': 10.75, 'total_time': 0, 'shift': 0}
{'name': 'P6', 'line': 2, 'arrival_time': '08:49', 'boarding_station': 'Junction5', 'destination': 'Junction6', 'leaving_time': '09:51', 'delay': 49.5, 'total_time': 0, 'shift': 0}
{'name': 'P7', 'line': 1, 'arrival_time': '08:14', 'boarding_station': 'Junction1', 'destination': 'Junction2', 'leaving_time': '08:49', 'delay': 17.5, 'total_time': 0, 'shift': 0}
{'name': 'P8', 'line': 1, 'arrival_time': '08:15', 'boarding_station': 'Junction1', 'destination': 'Junction3', 'leaving_time': '08:51', 'delay': 9.0, 'total_time': 0, 'shift': 0}
{'name': 'P9', 'line': 2, 'arrival_time': '08:49', 'boarding_station': 'Junction5', 'destination': 'Junction6', 'leaving_time': '09:51', 'delay': 47.5, 'total_time': 0, 'shift': 0}
{'name': 'P10', 'line': 2, 'arrival_time': '08:49', 'boarding_station': 'Junction5', 'destination': 'Junction6', 'leaving_time': '09:51', 'delay': 47.5, 'total_time': 0, 'shift': 0}
{'name': 'P11', 'line': 1, 'arrival_time': '08:01', 'boarding_station': 'Junction2', 'destination': 'Junction3', 'leaving_time': '08:51', 'delay': 25.0, 'total_time': 0, 'shift': 0}
{'name': 'P12', 'line': 2, 'arrival_time': '08:00', 'boarding_station': 'Junction4', 'destination': 'Junction6', 'leaving_time': '09:51', 'delay': 27.75, 'total_time': 0, 'shift': 0}
{'name': 'P13', 'line': 2, 'arrival_time': '08:02', 'boarding_station': 'Junction4', 'destination': 'Junction6', 'leaving_time': '09:51', 'delay': 27.25, 'total_time': 0, 'shift': 0}
{'name': 'P14', 'line': 2, 'arrival_time': '08:02', 'boarding_station': 'Junction4', 'destination': 'Junction5', 'leaving_time': '09:49', 'delay': 53.5, 'total_time': 0, 'shift': 0}
{'name': 'P15', 'line': 2, 'arrival_time': '08:02', 'boarding_station': 'Junction4', 'destination': 'Junction6', 'leaving_time': '09:51', 'delay': 27.25, 'total_time': 0, 'shift': 0}
{'name': 'P16', 'line': 2, 'arrival_time': '08:03', 'boarding_station': 'Junction4', 'destination': 'Junction5', 'leaving_time': '09:49', 'delay': 53.0, 'total_time': 0, 'shift': 0}
{'name': 'P17', 'line': 2, 'arrival_time': '08:00', 'boarding_station': 'Junction5', 'destination': 'Junction6', 'leaving_time': '09:51', 'delay': 55.5, 'total_time': 0, 'shift': 0}
